Timestamp,sda,sda1,sda2,sdb,sdc,sdd,sdd1,sdd2,md0,sde,sdb1,dm-0
07-DEC-2012 13:18:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,23.6,0.0
07-DEC-2012 13:18:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:34,35.9,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:36,83.8,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,95.8,0.0
07-DEC-2012 13:18:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,31.9,0.0
07-DEC-2012 13:18:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,23.9,0.0
07-DEC-2012 13:18:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.8,175.8,0.0
07-DEC-2012 13:18:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:44,47.8,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,27.9,0.0
07-DEC-2012 13:18:45,55.8,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
07-DEC-2012 13:18:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.6,115.6,0.0
07-DEC-2012 13:18:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.4,451.4,0.0
07-DEC-2012 13:18:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,67.8,0.0
07-DEC-2012 13:18:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:55,13231.5,13231.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:56,25084.8,25084.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:18:57,49023.0,49023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,31.9,0.0
07-DEC-2012 13:18:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
07-DEC-2012 13:18:59,19.9,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:19:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-DEC-2012 13:19:02,99.6,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.1,231.1,0.0
