Timestamp,Runnable,Swap-in,pswitch,syscall,read,write,fork,exec,sem,msg
07-DEC-2012 13:19:15,1.0,-1.0,11146.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:16,2.0,-1.0,10650.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:17,1.0,-1.0,11135.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:18,2.0,-1.0,9929.7,-1.0,-1.0,-1.0,0.9,-1.0,-1.0,-1.0
07-DEC-2012 13:19:19,3.0,-1.0,10275.6,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:20,2.0,-1.0,11405.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:21,2.0,-1.0,7876.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:22,3.0,-1.0,3737.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:23,1.0,-1.0,5041.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:24,2.0,-1.0,4242.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:25,1.0,-1.0,3782.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:26,2.0,-1.0,3954.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:27,1.0,-1.0,4461.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:29,2.0,-1.0,3881.9,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:30,4.0,-1.0,7122.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:31,1.0,-1.0,12028.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:32,3.0,-1.0,4087.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:33,1.0,-1.0,3492.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:34,1.0,-1.0,4169.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:35,4.0,-1.0,4969.1,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:36,12.0,-1.0,40574.9,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:37,2.0,-1.0,7144.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:38,2.0,-1.0,3124.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:39,1.0,-1.0,3353.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:40,1.0,-1.0,4241.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
07-DEC-2012 13:19:41,1.0,-1.0,3776.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
