Timestamp,User%,Sys%,Wait%,Idle%
07-DEC-2012 13:20:20,12.9,2.0,1.0,84.2
07-DEC-2012 13:20:21,7.3,0.0,0.0,92.7
07-DEC-2012 13:20:22,12.0,4.0,0.0,84.0
07-DEC-2012 13:20:23,12.2,2.0,4.1,81.6
07-DEC-2012 13:20:24,5.1,2.0,0.0,92.9
07-DEC-2012 13:20:25,11.5,9.4,0.0,79.2
07-DEC-2012 13:20:26,20.6,13.4,13.4,52.6
07-DEC-2012 13:20:27,4.3,1.1,18.3,76.3
07-DEC-2012 13:20:28,6.2,3.1,0.0,90.6
07-DEC-2012 13:20:29,6.1,3.0,0.0,90.9
07-DEC-2012 13:20:30,6.1,6.1,0.0,87.9
07-DEC-2012 13:20:31,7.3,3.1,0.0,89.6
07-DEC-2012 13:20:32,19.4,10.2,0.0,70.4
07-DEC-2012 13:20:33,6.1,2.0,0.0,91.8
07-DEC-2012 13:20:34,29.9,13.4,2.1,54.6
07-DEC-2012 13:20:35,16.5,15.5,0.0,68.0
07-DEC-2012 13:20:36,5.3,2.1,5.3,87.2
07-DEC-2012 13:20:37,5.3,2.1,0.0,92.6
