Date,AAPL,MSFT,UAL,GE,PEP,DAL,IBM,KO
2012-01-03,58.74714279174805,26.770000457763672,18.899999618530273,17.653846740722656,66.40000152587889,8.039999961853027,186.3000030517578,35.06999969482422
2012-01-04,59.06285858154297,27.399999618530273,18.520000457763672,17.846153259277344,66.73999786376953,8.010000228881836,185.5399932861328,34.84999847412109
2012-01-05,59.71857070922852,27.68000030517578,18.38999938964844,17.836538314819336,66.22000122070311,8.329999923706055,184.66000366210938,34.685001373291016
2012-01-06,60.342857360839844,28.11000061035156,18.209999084472656,17.93269157409668,65.38999938964844,8.319999694824219,182.5399932861328,34.46500015258789
2012-01-09,60.24714279174805,27.739999771118164,17.93000030517578,18.134614944458008,65.73000335693361,8.279999732971191,181.58999633789062,34.46500015258789
2012-01-10,60.46285629272461,27.84000015258789,17.479999542236328,18.0,65.66000366210939,8.270000457763674,181.30999755859372,34.669998168945305
2012-01-11,60.36428451538086,27.71999931335449,18.010000228881836,18.153846740722656,65.01000213623047,8.609999656677246,182.32000732421875,34.029998779296875
2012-01-12,60.19857025146485,28.0,18.530000686645508,18.201923370361328,64.62000274658203,8.869999885559082,180.5500030517578,33.78499984741211
2012-01-13,59.97285842895508,28.25,18.43000030517578,18.115385055541992,64.40000152587889,8.850000381469727,179.16000366210938,33.49499893188477
2012-01-17,60.67142868041992,28.26000022888184,18.229999542236328,18.019229888916016,64.65000152587889,8.729999542236326,180.0,33.674999237060554
2012-01-18,61.301429748535156,28.229999542236328,18.25,18.288461685180664,64.84999847412111,8.920000076293945,181.07000732421875,33.794998168945305
2012-01-19,61.10714340209961,28.1200008392334,19.149999618530273,18.413461685180664,65.91000366210939,9.329999923706056,180.5200042724609,33.72499847412109
2012-01-20,60.0428581237793,29.709999084472656,19.32999992370605,18.413461685180664,66.27999877929689,9.40999984741211,188.5200042724609,34.044998168945305
2012-01-23,61.058570861816406,29.729999542236328,18.940000534057614,18.211538314819336,66.09999847412111,9.289999961853027,189.97999572753903,34.264999389648445
2012-01-24,60.058570861816406,29.34000015258789,19.399999618530273,18.115385055541992,66.19999694824219,9.380000114440918,191.92999267578125,33.950000762939446
2012-01-25,63.808570861816406,29.559999465942386,20.40999984741211,18.394229888916016,66.69999694824219,9.960000038146973,191.72999572753903,34.21500015258789
2012-01-26,63.51856994628906,29.5,21.700000762939453,18.336538314819336,66.51999664306639,10.170000076293944,190.97999572753903,34.005001068115234
2012-01-27,63.89714431762695,29.229999542236328,23.09000015258789,18.298076629638672,65.80999755859375,10.390000343322754,190.4600067138672,33.720001220703125
2012-01-30,64.71571350097656,29.61000061035156,22.989999771118164,18.173076629638672,65.41000366210939,10.770000457763672,192.5,33.72999954223633
2012-01-31,65.21142578125,29.53000068664551,23.10000038146973,17.990385055541992,65.66999816894531,10.550000190734863,192.6000061035156,33.764999389648445
2012-02-01,65.16999816894531,29.88999938964844,23.209999084472656,18.048076629638672,66.37999725341797,10.899999618530273,192.6199951171875,33.924999237060554
2012-02-02,65.01714324951172,29.95000076293945,24.09000015258789,18.028846740722656,66.40000152587889,11.100000381469727,191.52999877929688,33.915000915527344
2012-02-03,65.66857147216797,30.239999771118164,24.96999931335449,18.288461685180664,66.66000366210939,11.300000190734865,193.63999938964844,34.040000915527344
2012-02-06,66.28142547607422,30.20000076293945,24.229999542236328,18.31730842590332,66.51999664306639,10.989999771118164,192.82000732421875,34.014999389648445
2012-02-07,66.97571563720703,30.35000038146973,24.26000022888184,18.44230842590332,66.76000213623047,10.970000267028807,193.3500061035156,34.275001525878906
2012-02-08,68.09714508056639,30.65999984741211,23.8799991607666,18.5,66.73999786376953,10.989999771118164,192.9499969482422,34.165000915527344
2012-02-09,70.4528579711914,30.770000457763672,24.0,18.394229888916016,64.26999664306639,11.119999885559082,193.1300048828125,33.985000610351555
2012-02-10,70.48857116699219,30.5,23.75,18.153846740722656,63.95000076293945,10.890000343322754,192.4199981689453,33.970001220703125
2012-02-13,71.80000305175781,30.57999992370605,23.96999931335449,18.336538314819336,63.68999862670898,11.149999618530273,192.6199951171875,34.220001220703125
2012-02-14,72.77999877929688,30.25,23.56999969482422,18.211538314819336,63.52000045776367,10.9399995803833,192.22000122070312,34.450000762939446
2012-02-15,71.09571075439453,30.04999923706055,23.15999984741211,18.038461685180664,63.06999969482422,10.829999923706056,192.25,34.200000762939446
2012-02-16,71.7442855834961,31.290000915527344,23.68000030517578,18.278846740722656,62.72999954223633,10.93000030517578,193.0200042724609,34.43000030517578
2012-02-17,71.73143005371094,31.25,23.3700008392334,18.538461685180664,62.68000030517578,10.829999923706056,193.4199981689453,34.525001525878906
2012-02-21,73.55000305175781,31.440000534057614,21.239999771118164,18.663461685180664,63.13999938964844,10.050000190734863,193.38999938964844,34.40999984741211
2012-02-22,73.29142761230469,31.270000457763672,20.940000534057614,18.644229888916016,63.099998474121094,9.93000030517578,193.8699951171875,34.625
2012-02-23,73.7699966430664,31.3700008392334,20.63999938964844,18.56730842590332,63.13000106811523,9.6899995803833,197.6100006103516,34.59000015258789
2012-02-24,74.62999725341797,31.479999542236328,20.40999984741211,18.5,63.31000137329102,9.529999732971193,197.75999450683597,34.5
2012-02-27,75.10857391357422,31.35000038146973,20.06999969482422,18.336538314819336,63.31999969482422,9.65999984741211,197.52999877929688,34.415000915527344
2012-02-28,76.48714447021484,31.8700008392334,20.57999992370605,18.423076629638672,63.31999969482422,9.899999618530273,197.97999572753903,34.424999237060554
2012-02-29,77.4914321899414,31.739999771118164,20.649999618530273,18.31730842590332,62.93999862670898,9.8100004196167,196.72999572753903,34.93000030517578
2012-03-01,77.78142547607422,32.290000915527344,20.40999984741211,18.384614944458008,62.54999923706055,9.640000343322754,197.52999877929688,34.799999237060554
2012-03-02,77.88285827636719,32.080001831054695,20.940000534057614,18.240385055541992,62.52000045776367,9.770000457763672,198.80999755859372,34.59000015258789
2012-03-05,76.16571807861328,31.79999923706055,20.46999931335449,18.125,62.790000915527344,9.670000076293944,200.66000366210938,34.615001678466804
2012-03-06,75.75142669677734,31.559999465942386,19.8799991607666,17.711538314819336,62.27999877929688,9.359999656677246,197.25999450683597,34.380001068115234
2012-03-07,75.81285858154297,31.84000015258789,19.790000915527344,18.048076629638672,62.61999893188477,9.369999885559082,197.7700042724609,34.39500045776367
2012-03-08,77.42713928222656,32.009998321533196,19.959999084472656,18.298076629638672,62.95000076293945,9.470000267028807,199.80999755859372,34.634998321533196
